Samples	Station	Depth (m)	Temperature (℃)	Salinity	pH	Chlorophyll a  (μg/L)	Dissolved_oxygen	latitude	longitude	Sampling data	Fraction size	Sequencing strategy	BioProject	BioSample	SAR Accession	Raw data (Gbp)	Clean data (Gbp)	Clean reads number	Clean reads GC (%)	Clean reads Q30	Contigs number	Contigs length (bp)	Contigs GC (%)	Contigs N50	Contig N90
S07_Middle_3um_0714	S07	25	20.98 	32.25 	8.04 	5.58 	5.41 	30.1282	122.74599	2022-07-14	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179229	SRR28144593	11.71 	10.90 	38176887	46.65	91.065	730040	453154902	48.04	1167	559
S08_Surface_3um_0714	S08	3	24.36 	30.31 	8.29 	36.51 	7.13 	30.12079	122.72947	2022-07-14	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179230	SRR28144592	10.41 	9.97 	33781030	47.69	91.665	642371	384411503	46.56	1110	555
S08_Middle_3um_0714	S08	17	20.80 	32.36 	8.05 	3.65 	3.96 	30.12079	122.72947	2022-07-14	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179231	SRR28144591	13.95 	13.25 	45076819	53.18	91.38	1235973	740739147	45.71	1075	557
S08_Bottom_3um_0714	S08	40	19.09 	33.68 	7.99 	3.22 	2.73 	30.12079	122.72947	2022-07-14	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179232	SRR28144590	13.11 	11.09 	42288073	46.57	91.5	1295104	791888878	45.76	1050	557
S07_Surface_02um_0715	S07	5	22.45 	31.10 	8.28 	NA	5.49 	30.1282	122.74599	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179233	SRR28144589	13.44 	12.72 	43189014	44.6	92.125	1326241	831756563	45.71	1217	570
S07_Middle_02um_0715	S07	25	21.48 	31.98 	8.36 	NA	4.52 	30.1282	122.74599	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179234	SRR28144587	11.12 	11.83 	36244556	40.79	91.635	1522194	896111986	43.17	1015	558
S07_Bottom_02um_0715	S07	60	18.45 	34.62 	8.53 	NA	3.74 	30.1282	122.74599	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179235	SRR28144586	13.35 	12.91 	43693861	41.01	92.7	1154978	699577150	42.08	1030	554
S08_Surface_02um_0715	S08	3	23.13 	30.77 	8.69 	NA	5.77 	30.12079	122.72947	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179236	SRR28144585	15.10 	14.25 	48282286	45.64	92.555	1002797	674359829	45.62	1470	584
S08_Middle_02um_0715	S08	17	21.40 	31.97 	8.59 	NA	4.37 	30.12079	122.72947	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179237	SRR28144584	14.23 	11.80 	43106386	45.45	93.38	1376921	809939786	45.87	1121	563
S08_Bottom_02um_0715	S08	40	19.62 	33.77 	8.33 	NA	3.32 	30.12079	122.72947	2022-07-15	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179238	SRR28144583	14.95 	12.56 	42868541	49.78	91.875	865303	561580802	49.19	1255	573
S07_Surface_3um_0715	S07	5	22.45 	31.10 	8.28 	NA	5.49 	30.1282	122.74599	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179239	SRR28144582	17.25 	15.71 	55992192	44.6	92.315	1234413	854882296	46.15	1303	572
S07_Middle_3um_0715	S07	25	21.48 	31.98 	8.36 	NA	4.52 	30.1282	122.74599	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179240	SRR28144581	12.33 	11.57 	39547328	44.45	92.43	1389152	818860304	44.63	1062	560
S07_Bottom_3um_0715	S07	60	18.45 	34.62 	8.53 	NA	3.74 	30.1282	122.74599	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179241	SRR28144580	13.53 	12.19 	44200885	42.22	92.86	1562510	978336556	43.54	1079	559
S08_Surface_3um_0715	S08	3	23.13 	30.77 	8.69 	NA	5.77 	30.12079	122.72947	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179242	SRR28144579	13.44 	12.55 	42669648	43.81	92.525	849573	551733953	45.16	1499	580
S08_Middle_3um_0715	S08	17	21.40 	31.97 	8.59 	NA	4.37 	30.12079	122.72947	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179243	SRR28144578	14.47 	13.79 	46565905	49.36	93.88	1139654	719582878	48.88	1242	570
S08_Bottom_3um_0715	S08	40	19.62 	33.77 	8.33 	NA	3.32 	30.12079	122.72947	2022-07-15	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179244	SRR28144576	12.63 	12.26 	40462571	47.8	93.455	741731	428850008	43.92	1046	556
S07_Surface_02um_0718	S07	5	22.43 	30.99 	8.01 	4.01 	6.16 	30.1282	122.74599	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179245	SRR28144575	11.16 	13.61 	46051204	43.72	91.495	1135012	721403928	44.78	1176	568
S07_Middle_02um_0718	S07	25	21.12 	32.31 	7.97 	2.96 	4.57 	30.1282	122.74599	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179246	SRR28144574	14.27 	11.85 	38082024	52.39	91.16	1494546	942131984	46.09	1150	567
S07_Bottom_02um_0718	S07	60	19.97 	33.61 	7.95 	3.05 	3.68 	30.1282	122.74599	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179247	SRR28144573	13.27 	9.80 	33233175	48.88	92.25	1240391	761523401	45.94	1087	561
S08_Surface_02um_0718	S08	3	23.32 	29.96 	8.09 	4.96 	6.55 	30.12079	122.72947	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179248	SRR28144572	14.23 	10.65 	36077149	43.68	91.835	1166974	823925171	44.91	1354	575
S08_Middle_02um_0718	S08	17	23.12 	30.20 	8.11 	4.11 	6.13 	30.12079	122.72947	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179249	SRR28144571	11.68 	13.45 	45579766	44.49	92.645	740423	529450765	50.78	1342	574
S08_Bottom_02um_0718	S08	40	20.29 	33.27 	8.02 	5.55 	4.54 	30.12079	122.72947	2022-07-18	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179250	SRR28144570	10.28 	12.67 	42861383	44.81	92.78	737138	475675792	48.22	1099	561
S07_Surface_3um_0718	S07	5	22.43 	30.99 	8.01 	4.01 	6.16 	30.1282	122.74599	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179251	SRR28144569	13.43 	14.68 	43430281	45.49	92.06	1151818	737518634	46.22	1132	562
S07_Middle_3um_0718	S07	25	21.12 	32.31 	7.97 	2.96 	4.57 	30.1282	122.74599	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179252	SRR28144568	12.85 	12.31 	41641998	47.78	93.66	1325127	841059789	47.59	1175	568
S07_Bottom_3um_0718	S07	60	19.97 	33.61 	7.95 	3.05 	3.68 	30.1282	122.74599	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179253	SRR28144567	12.88 	12.59 	40930030	46.61	92.325	1014870	599186816	44.9	1073	562
S08_Surface_3um_0718	S08	3	23.32 	29.96 	8.09 	4.96 	6.55 	30.12079	122.72947	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179254	SRR28144565	12.00 	0.91 	3078458	46.27	92.065	976215	622388455	46.55	1177	564
S08_Middle_3um_0718	S08	17	23.12 	30.20 	8.11 	4.11 	6.13 	30.12079	122.72947	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179255	SRR28144564	11.20 	10.66 	36197684	48.02	91.325	969502	594509932	47.08	1088	562
S08_Bottom_3um_0718	S08	40	20.29 	33.27 	8.02 	5.55 	4.54 	30.12079	122.72947	2022-07-18	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179256	SRR28144563	12.33 	11.72 	39292755	46.94	91.895	977563	547810532	45.4	953	551
S07_Surface_02um_0723	S07	5	25.71 	27.34 	8.36 	61.75 	9.58 	30.1282	122.74599	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179257	SRR28144562	11.18 	10.72 	36246658	41.85	91.885	882417	598138910	42.78	1230	567
S07_Middle_02um_0723	S07	25	21.23 	32.21 	7.80 	3.15 	4.37 	30.1282	122.74599	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179258	SRR28144561	13.81 	13.29 	44880103	44.76	92.34	1421491	933247496	46.94	1139	564
S07_Bottom_02um_0723	S07	60	19.96 	33.74 	7.83 	3.70 	3.62 	30.1282	122.74599	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179259	SRR28144560	10.72 	10.35 	34931996	40.09	92.23	1215601	724163472	42.94	972	551
S08_Surface_02um_0723	S08	3	26.12 	26.36 	8.39 	83.23 	10.01 	30.12079	122.72947	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179260	SRR28144559	11.50 	11.06 	37379421	41.56	91.915	1028490	693600027	43.48	1355	575
S08_Middle_02um_0723	S08	17	21.71 	31.63 	8.03 	4.01 	4.01 	30.12079	122.72947	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179261	SRR28144558	12.53 	11.64 	40623531	42.59	91.835	1515003	944531527	44.91	1059	558
S08_Bottom_02um_0723	S08	40	20.06 	33.59 	8.01 	3.21 	3.35 	30.12079	122.72947	2022-07-23	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179262	SRR28144557	11.80 	10.55 	35514068	54.57	95.76	880292	556226262	53.98	1144	560
S07_Surface_3um_0723	S07	5	25.71 	27.34 	8.36 	61.75 	9.58 	30.1282	122.74599	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179263	SRR28144556	18.75 	14.83 	57356416	52.04	91.68	1092060	754564721	53.06	1291	575
S07_Middle_3um_0723	S07	25	21.23 	32.21 	7.80 	3.15 	4.37 	30.1282	122.74599	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179264	SRR28144554	12.85 	12.28 	41693135	43.37	91.62	1559251	939810152	44.03	1058	555
S07_Bottom_3um_0723	S07	60	19.96 	33.74 	7.83 	3.70 	3.62 	30.1282	122.74599	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179265	SRR28144553	12.08 	11.75 	39318978	46.93	90.785	1492500	855070172	47.46	952	549
S08_Surface_3um_0723	S08	3	26.12 	26.36 	8.39 	83.23 	10.01 	30.12079	122.72947	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179266	SRR28144552	10.98 	10.41 	35403178	45.73	91.35	1059513	743888265	47	1356	578
S08_Middle_3um_0723	S08	17	21.71 	31.63 	8.03 	4.01 	4.01 	30.12079	122.72947	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179267	SRR28144551	10.22 	9.78 	33163988	43.02	91.44	1437576	862110182	43.95	1021	555
S08_Bottom_3um_0723	S08	40	20.06 	33.59 	8.01 	3.21 	3.35 	30.12079	122.72947	2022-07-23	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179268	SRR28144550	12.73 	11.86 	41327010	43.99	91.85	1495465	844244034	43.17	940	547
S07_Surface_02um_0725	S07	5	26.04 	26.15 	8.37 	12.45 	8.85 	30.1282	122.74599	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179269	SRR28144549	13.56 	13.08 	44228115	41.83	91.725	1223737	821619427	44	1238	570
S07_Middle_02um_0725	S07	25	20.40 	33.27 	8.01 	2.28 	3.69 	30.1282	122.74599	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179270	SRR28144548	10.46 	10.04 	33960074	39.7	91.515	1379155	820506110	42.63	1023	555
S07_Bottom_02um_0725	S07	60	20.11 	33.70 	8.02 	3.01 	3.49 	30.1282	122.74599	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179271	SRR28144547	13.06 	12.51 	42312020	43.06	91.655	1688900	992007894	44.89	1015	554
S08_Surface_02um_0725	S08	3	27.74 	25.60 	8.38 	10.38 	7.24 	30.12079	122.72947	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179272	SRR28144546	10.48 	9.97 	33808271	42.37	91.13	927800	656693143	44.16	1483	580
S08_Middle_02um_0725	S08	17	22.33 	30.93 	8.03 	2.11 	5.37 	30.12079	122.72947	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179273	SRR28144545	12.74 	12.10 	40981380	38.94	92.67	1595514	971173393	41.95	1145	567
S08_Bottom_02um_0725	S08	40	20.27 	33.47 	7.99 	2.65 	3.43 	30.12079	122.72947	2022-07-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179274	SRR28144543	12.01 	11.50 	38880600	38.63	91.895	1621716	939494215	41.34	997	554
S07_Surface_3um_0725	S07	5	25.71 	27.34 	8.36 	61.75 	8.85 	30.1282	122.74599	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179275	SRR28144542	11.25 	9.97 	33808271	42.37	91.13	1157971	804159091	46.58	1328	576
S07_Middle_3um_0725	S07	25	21.23 	32.21 	7.80 	3.15 	3.69 	30.1282	122.74599	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179276	SRR28144541	19.41 	12.10 	40981380	38.94	92.67	2196494	1335859852	45.06	1042	556
S07_Bottom_3um_0725	S07	60	19.96 	33.74 	7.83 	3.70 	3.49 	30.1282	122.74599	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179277	SRR28144540	10.28 	11.50 	38880600	38.63	91.895	1425709	783693623	42.44	894	545
S08_Surface_3um_0725	S08	3	26.12 	26.36 	8.39 	83.23 	7.24 	30.12079	122.72947	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179278	SRR28144539	12.22 	11.72 	39682679	48.44	91.855	990660	711792213	49.9	1425	578
S08_Middle_3um_0725	S08	17	21.71 	31.63 	8.03 	4.01 	5.37 	30.12079	122.72947	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179279	SRR28144538	11.70 	11.16 	37926144	49.43	91.255	1367715	913353129	50.13	1241	568
S08_Bottom_3um_0725	S08	40	20.06 	33.59 	8.01 	3.21 	3.43 	30.12079	122.72947	2022-07-25	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179280	SRR28144537	10.33 	11.06 	33711498	43.54	91.32	1113259	717800127	45.2	1117	563
S07_Surface_02um_0729	S07	5	26.27 	28.03 	8.51 	52.89 	9.44 	30.1282	122.74599	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179281	SRR28144536	10.44 	9.97 	33724040	43.85	91.395	846209	625557865	44.94	1476	582
S07_Middle_02um_0729	S07	25	20.37 	33.82 	8.02 	2.36 	3.52 	30.1282	122.74599	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179282	SRR28144535	10.50 	9.96 	33797555	39.98	90.47	1451683	835268561	42.48	988	554
S07_Bottom_02um_0729	S07	60	20.11 	33.70 	8.02 	3.01 	3.56 	30.1282	122.74599	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179283	SRR28144534	11.13 	10.55 	35784086	46.52	91.095	1290046	811196136	48.62	1136	564
S08_Surface_02um_0729	S08	3	26.19 	27.47 	8.49 	53.99 	7.23 	30.12079	122.72947	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179284	SRR28144532	11.48 	11.10 	37508992	47.66	94.455	1472939	822466024	47.28	940	548
S08_Middle_02um_0729	S08	17	22.23 	31.55 	8.13 	5.74 	5.62 	30.12079	122.72947	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179285	SRR28144531	13.38 	12.35 	43020166	40.92	90.665	1671540	1011029159	43.2	1036	557
S08_Bottom_02um_0729	S08	40	20.57 	33.52 	8.01 	2.67 	2.87 	30.12079	122.72947	2022-07-29	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179286	SRR28144530	11.78 	11.11 	37698911	42.74	91.21	1552243	926971852	44.22	1091	560
S07_Surface_3um_0729	S07	5	26.27 	28.03 	8.51 	52.89 	9.44 	30.1282	122.74599	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179287	SRR28144529	13.73 	11.97 	44616375	47.17	92.955	1081700	656332673	45.4	1025	555
S07_Middle_3um_0729	S07	25	20.37 	33.82 	8.02 	2.36 	3.52 	30.1282	122.74599	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179288	SRR28144528	10.55 	9.92 	33840809	47.86	90.435	1141327	669299108	46.29	973	552
S07_Bottom_3um_0729	S07	60	20.11 	33.70 	8.02 	3.01 	3.56 	30.1282	122.74599	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179289	SRR28144527	10.88 	10.04 	35048974	45.78	91.21	1149767	653768963	45.91	968	550
S08_Surface_3um_0729	S08	3	26.19 	27.47 	8.49 	53.99 	7.23 	30.12079	122.72947	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179290	SRR28144526	10.30 	9.76 	33222026	45.51	91.01	1600152	971593613	47.27	1058	558
S08_Middle_3um_0729	S08	17	22.23 	31.55 	8.13 	5.74 	5.62 	30.12079	122.72947	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179291	SRR28144525	10.71 	9.97 	33990085	53.87	91.455	1269754	767384136	44.54	1053	558
S08_Bottom_3um_0729	S08	40	20.57 	33.52 	8.01 	2.67 	2.87 	30.12079	122.72947	2022-07-29	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179292	SRR28144524	17.87 	13.47 	57686410	45.04	91.62	1424444	731445304	53.75	873	541
S07_Surface_02um_0801	S07	5	25.42 	28.53 	8.32 	28.92 	6.78 	30.1282	122.74599	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179293	SRR28144523	10.34 	9.90 	33491515	41.93	91.25	1138094	752159630	43.49	1170	567
S07_Middle_02um_0801	S07	25	21.60 	32.32 	8.05 	2.77 	4.05 	30.1282	122.74599	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179294	SRR28144521	10.51 	10.16 	34366826	41.72	91.535	1219008	758991709	42.89	1057	556
S07_Bottom_02um_0801	S07	60	20.78 	33.62 	8.03 	6.57 	3.11 	30.1282	122.74599	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179295	SRR28144520	10.19 	9.73 	32969797	46.7	91.145	964813	645026380	46.59	1220	565
S08_Surface_02um_0801	S08	3	24.68 	29.10 	7.96 	16.21 	6.40 	30.12079	122.72947	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179296	SRR28144519	10.95 	10.55 	35649949	41.59	91.94	1159948	760662320	43.8	1150	566
S08_Middle_02um_0801	S08	17	22.74 	31.01 	7.91 	3.74 	5.51 	30.12079	122.72947	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179297	SRR28144518	10.92 	11.51 	34977397	44.91	91.3	1210457	791985447	45.6	1187	567
S08_Bottom_02um_0801	S08	40	21.68 	32.40 	7.88 	5.16 	4.19 	30.12079	122.72947	2022-08-01	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179298	SRR28144517	12.14 	9.99 	34037867	55.64	90.93	797909	503591251	53.4	1066	558
S07_Surface_3um_0801	S07	5	25.42 	28.53 	8.32 	28.92 	6.78 	30.1282	122.74599	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179299	SRR28144516	10.76 	11.65 	34706352	46.47	91.85	1081700	656332673	45.4	1025	555
S07_Middle_3um_0801	S07	25	21.60 	32.32 	8.05 	2.77 	4.05 	30.1282	122.74599	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179300	SRR28144515	10.72 	10.14 	34546715	46.25	91.61	1141327	669299108	46.29	973	552
S07_Bottom_3um_0801	S07	60	20.78 	33.62 	8.03 	6.57 	3.11 	30.1282	122.74599	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179301	SRR28144514	13.81 	11.63 	44362476	47.09	90.775	1149767	653768963	45.91	968	550
S08_Surface_3um_0801	S08	3	24.68 	29.10 	7.96 	16.21 	6.40 	30.12079	122.72947	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179302	SRR28144513	13.72 	12.82 	43964721	47.61	90.39	1600152	971593613	47.27	1058	558
S08_Middle_3um_0801	S08	17	22.74 	31.01 	7.91 	3.74 	5.51 	30.12079	122.72947	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179303	SRR28144512	10.38 	9.75 	33255817	44.65	90.61	1269754	767384136	44.54	1053	558
S08_Bottom_3um_0801	S08	40	21.68 	32.40 	7.88 	5.16 	4.19 	30.12079	122.72947	2022-08-01	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179304	SRR28144510	14.10 	15.09 	45321463	54.43	90.85	1424444	731445304	53.75	873	541
S07_Surface_02um_0804	S07	5	25.80 	28.70 	8.29 	12.83 	8.30 	30.1282	122.74599	2022-08-04	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179305	SRR28144509	10.71 	10.21 	34594615	43.21	90.87	982230	668551720	43.92	1379	576
S07_Middle_02um_0804	S07	25	22.89 	31.00 	8.06 	3.18 	4.65 	30.1282	122.74599	2022-08-04	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179306	SRR28144508	12.94 	12.17 	41299219	45.25	90.715	1435613	915545835	46.44	1141	567
S07_Bottom_02um_0804	S07	60	20.87 	33.48 	8.02 	2.51 	3.99 	30.1282	122.74599	2022-08-04	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179307	SRR28144507	16.76 	16.39 	55100970	45.57	94.895	1515234	981988192	46.26	1139	563
